Sequence1,Sequence2,Time_Seconds
8,155,0.018591
8,156,0.069566
8,157,0.094571
8,158,0.08369
8,159,0.101203
8,160,0.102438
8,161,0.058654
8,162,0.028646
8,163,0.028998
8,164,0.058306
8,165,0.090156
8,166,0.048181
8,167,0.031208
8,168,0.024358
8,169,0.096159
8,170,0.036836
8,171,0.047992
8,172,0.052965
8,173,0.051725
8,174,0.046197
8,175,0.036385
8,176,0.078842
8,177,0.02972
8,178,0.039165
8,179,0.029822
8,180,0.063485
8,181,0.049903
9,10,0.104413
9,11,0.117139
9,12,0.104267
9,13,0.134031
9,14,0.096761
9,15,0.138191
9,16,0.126265
9,17,0.179044
9,18,0.206532
9,19,0.13198
9,20,0.099323
9,21,0.082202
9,22,0.086282
9,23,0.082608
9,24,0.104162
9,25,0.089175
9,26,0.084467
9,27,0.088817
9,28,0.094819
9,29,0.089289
9,30,0.092475
9,31,0.089434
9,32,0.083019
9,33,0.093658
9,34,0.095407
9,35,0.105472
9,36,0.141336
9,37,0.102311
9,38,0.096238
9,39,0.097319
9,40,0.101205
9,41,0.110778
9,42,0.156595
9,43,0.089234
9,44,0.089879
9,45,0.157176
9,46,0.157612
9,47,0.106801
9,48,0.081237
9,49,0.196438
9,50,0.098368
9,51,0.089983
9,52,0.112082
9,53,0.114923
9,54,0.136726
9,55,0.147287
9,56,0.099323
9,57,0.091584
9,58,0.096075
9,59,0.098572
9,60,0.099833
9,61,0.085277
9,62,0.094787
9,63,0.090073
9,64,0.08024
9,65,0.101911
9,66,0.094427
9,67,0.086702
9,68,0.081429
9,69,0.081386
9,70,0.082277
9,71,0.083189
9,72,0.091876
9,73,0.088016
9,74,0.082484
9,75,0.071581
9,76,0.088838
9,77,0.098734
9,78,0.087193
9,79,0.10176
9,80,0.090735
9,81,0.089631
9,82,0.093682
9,83,0.102098
9,84,0.102324
9,85,0.095462
9,86,0.096273
9,87,0.121762
9,88,0.133162
9,89,0.128992
9,90,0.083755
9,91,0.116102
9,92,0.066066
9,93,0.129473
9,94,0.088702
9,95,0.102414
9,96,0.111791
9,97,0.141132
9,98,0.130227
9,99,0.1323
9,100,0.07435
9,101,0.124257
9,102,0.127185
9,103,0.089267
9,104,0.050108
9,105,0.039321
9,106,0.037704
9,107,0.035006
9,108,0.037888
9,109,0.041744
9,110,0.050227
9,111,0.041155
9,112,0.077311
9,113,0.049801
9,114,0.04118
9,115,0.037102
9,116,0.092918
9,117,0.073931
9,118,0.063916
9,119,0.039883
9,120,0.049963
9,121,0.039919
9,122,0.049816
9,123,0.032326
9,124,0.01689
9,125,0.010751
9,126,0.011833
9,127,0.016082
9,128,0.008048
9,129,0.049703
9,130,0.031052
9,131,0.040329
9,132,0.048538
9,133,0.032225
9,134,0.049024
9,135,0.047981
9,136,0.043664
9,137,0.071456
9,138,0.053419
9,139,0.044334
9,140,0.042939
